ReturnID,Order_ID ,Return Date,Reason,Refund Amount,Restocked?
RET700439,ORD-107744,"December 26, 2025",Changed Mind,143.94,Y
RET700440,ORD-100533,25-Nov-2024,,,N
RET700441,ORD-106252,2025/01/21,,,
RET700442,ORD-103023,"December 26, 2024",Late Delivery,126.34,
RET700443,ORD-105790,"August 18, 2024",Late Delivery,-242.02,
RET700444,ORD-104900,20/09/2025,Late Delivery,214.74,
RET700445,ORD-108810,17-May-2024,Late Delivery,$62.32,Yes
RET700446,ORD-106255,18-May-2026,,-174.78,N
RET700447,ORD-105383,16-Aug-2025,,-32.42,N
RET700448,ORD-107704,2026/01/19,,,
RET700449,ORD-107288,2026/01/25,Defective,-10.75,No
RET700450,ORD-107548,03/17/2026,defective,54.1,Yes
RET700451,ORD-105837,12/08/2025,No Longer Needed,13.67,N
RET700452,ORD-102806,2025-08-03,,138.82,unknown
RET700453,ORD-107363,2024-10-11,Changed Mind,-159.44,
RET700454,ORD-105252,2025/09/27,Damaged in Shipping,-130.1,
RET700455,ORD-104750,"August 28, 2025",Damaged in Shipping,,
RET700456,ORD-100244,01-Jun-2026,No Longer Needed,$132.04,
RET700457,ORD-104094,2025/03/29,Wrong Item,,
RET700458,ORD-102936,"July 18, 2025",Damaged in Shipping,,Yes
RET700459,ORD-100982,10/28/2024,defective,,N
RET700460,ORD-108324,10/06/2024,Damaged in Shipping,,Yes
RET700461,ORD-101067,2024/09/06,WRONG ITEM,152.15,unknown
RET700462,ORD-104239,"April 19, 2027",Damaged in Shipping,-252.44,N
RET700463,ORD-107953,2025-11-22,Late Delivery,-200.87,No
RET700464,ORD-100587,27/01/2024,,,Yes
RET700465,ORD-106859,2025-01-25,Late Delivery,,N
RET700466,ORD-106453,2024-03-11,Damaged in Shipping,-102.85,No
RET700467,ORD-102898,2025/04/11,Changed Mind,,Y
RET700468,ORD-102380,01/31/2025,,-55.13,
RET700469,ORD-104893,"January 12, 2026",,-243.67,
RET700470,ORD-108354,12/04/2027,Late Delivery,$131.02,
RET700471,ORD-102750,07/22/2025,WRONG ITEM,219.6,unknown
RET700472,ORD-104248,2024/06/11,,-56.78,N
RET700473,ORD-107424,11/08/2025,,,
RET700474,ORD-100820,10/08/2024,WRONG ITEM,-204.09,unknown
RET700475,ORD-106711,2026/01/23,defective,10.97,unknown
RET700476,ORD-103919,29/05/2026,Damaged in Shipping,,N
RET700477,ORD-101331,2025/04/28,Wrong Item,163.2,
RET700478,ORD-101960,15/01/2025,No Longer Needed,187.09,Yes
RET700479,ORD-105449,26-Mar-2025,Late Delivery,,unknown
RET700480,ORD-104438,"April 17, 2025",WRONG ITEM,$117.01,
RET700481,ORD-100752,06/06/2025,,,N
RET700482,ORD-106959,01/09/2026,No Longer Needed,,
RET700483,ORD-101411,"February 17, 2026",Defective,$91.28,No
RET700484,ORD-106153,2025-09-23,,$77.45,Yes
RET700485,ORD-106820,2026-07-23,Defective,,No
RET700486,ORD-107070,2025/12/03,,161.53,unknown
RET700487,ORD-101840,02/09/2026,WRONG ITEM,,
RET700488,ORD-103584,09/22/2025,No Longer Needed,$250.95,unknown
RET700489,ORD-106181,2025/03/13,Wrong Item,235.93,No
RET700490,ORD-103628,2024-08-03,No Longer Needed,$209.08,N
RET700491,ORD-107135,2026/03/27,Late Delivery,,Yes
RET700492,ORD-106867,12/04/2025,Late Delivery,,Y
RET700493,ORD-105862,04/28/2024,Changed Mind,-200.07,No
RET700494,ORD-106308,28/03/2026,Late Delivery,164.09,Y
RET700495,ORD-100696,2024-12-06,Defective,$119.48,No
RET700496,ORD-105313,05/03/2027,Wrong Item,-236.25,Y
RET700497,ORD-100757,2024-11-06,Damaged in Shipping,-264.98,unknown
RET700498,ORD-103328,08/10/2024,,-230.08,
RET700499,ORD-105628,05/27/2026,Defective,-247.25,N
RET700500,ORD-107952,2025-04-29,defective,$290.3,Yes
RET700501,ORD-108912,2025/09/20,WRONG ITEM,-238.91,Yes
RET700502,ORD-105668,"April 02, 2027",WRONG ITEM,255.34,
RET700503,ORD-100132,14-Mar-2024,defective,$103.41,unknown
RET700504,ORD-101538,"November 26, 2024",Changed Mind,$152.79,Yes
RET700505,ORD-102650,07/09/2024,defective,142.57,Yes
RET700506,ORD-104621,2024/12/23,Changed Mind,-167.18,Yes
RET700507,ORD-101918,"July 05, 2024",,,N
RET700508,ORD-100833,08/07/2026,,-104.35,N
RET700509,ORD-100501,01/28/2026,defective,196.65,No
RET700510,ORD-105659,2026-01-31,Late Delivery,,unknown
RET700511,ORD-104185,30-May-2026,Damaged in Shipping,-21.26,Yes
RET700512,ORD-101724,"March 13, 2025",defective,$185.9,N
RET700513,ORD-100474,30-Apr-2026,Wrong Item,,
RET700514,ORD-108620,2025-08-26,No Longer Needed,32.85,
RET700515,ORD-105686,2025/01/30,defective,$38.78,No
RET700516,ORD-108167,2025-04-31,,-100.66,unknown
RET700517,ORD-106029,"September 30, 2024",No Longer Needed,25.76,unknown
RET700518,ORD-107614,2024/09/27,,$180.36,
RET700519,ORD-106822,06-Jul-2024,,,Y
RET700520,ORD-106771,13/10/2024,No Longer Needed,-195.8,Yes
RET700521,ORD-103208,21-Sep-2025,defective,44.35,Y
RET700522,ORD-106085,17-Apr-2024,Damaged in Shipping,251.16,No
RET700523,ORD-101169,08-Jan-2026,,174.93,unknown
RET700524,ORD-106975,06/01/2025,WRONG ITEM,197.92,Yes
RET700525,ORD-100272,12/14/2025,Late Delivery,,
RET700526,ORD-105031,2025-04-25,No Longer Needed,-278.53,
RET700527,ORD-107781,2026-06-01,,,No
RET700528,ORD-107054,2024-04-22,Wrong Item,$13.56,No
RET700529,ORD-106311,2024/05/07,Changed Mind,158.94,Y
RET700530,ORD-102678,2024-09-30,Damaged in Shipping,,No
RET700531,ORD-108794,12/07/2024,defective,263.63,
RET700532,ORD-108840,25/09/2024,Damaged in Shipping,$262.25,
RET700533,ORD-103221,02-Apr-2024,Late Delivery,$49.99,unknown
RET700534,ORD-101822,"March 26, 2024",Wrong Item,-64.57,N
RET700535,ORD-104479,"September 24, 2024",defective,,
RET700536,ORD-107060,2024/06/08,No Longer Needed,-105.06,unknown
RET700537,ORD-100827,"August 01, 2025",Changed Mind,79.67,N
RET700538,ORD-103176,2024/03/25,,,Y
RET700539,ORD-103673,11-Jan-2026,No Longer Needed,,N
RET700540,ORD-104404,2024/01/18,Damaged in Shipping,126.12,No
RET700541,ORD-103407,"September 05, 2024",,,Yes
RET700542,ORD-102734,05/02/2024,Defective,282.72,unknown
RET700543,ORD-106231,02/22/2024,,12.31,N
RET700544,ORD-105492,2026/05/02,Late Delivery,$243.73,Y
RET700545,ORD-102250,18-Jan-2026,WRONG ITEM,42.31,
RET700546,ORD-100451,2026/01/06,Late Delivery,$146.88,
RET700547,ORD-101953,28-Oct-2025,No Longer Needed,,No
RET700548,ORD-106946,17/05/2024,Late Delivery,$16.35,N
RET700549,ORD-104226,24/07/2024,Defective,,Yes
RET700550,ORD-103757,06/20/2025,defective,,N
RET700551,ORD-105017,12-Jun-2024,,-83.62,
RET700552,ORD-100587,2026/02/09,No Longer Needed,202.13,No
RET700553,ORD-104294,08/24/2024,No Longer Needed,$61.93,Y
RET700554,ORD-105627,2025-07-20,No Longer Needed,$197.39,unknown
RET700555,ORD-101589,2024-04-15,WRONG ITEM,$29.34,N
RET700556,ORD-105109,2025-11-20,Wrong Item,153.63,
RET700557,ORD-108063,07-Oct-2025,Late Delivery,56.27,Y
RET700558,ORD-104707,2025-11-21,Defective,-124.77,unknown
RET700559,ORD-102585,25/04/2026,Changed Mind,,Y
RET700560,ORD-100582,2024-07-02,Damaged in Shipping,148.21,Y
RET700561,ORD-105651,07/05/2026,No Longer Needed,-258.56,Yes
RET700562,ORD-105580,2024-04-05,Late Delivery,,
RET700563,ORD-102576,2025/08/07,Late Delivery,-92.39,
RET700564,ORD-104466,24/04/2026,Damaged in Shipping,$44.27,
RET700565,ORD-106240,21/03/2026,WRONG ITEM,,N
RET700566,ORD-102498,07/14/2025,,$183.18,
RET700567,ORD-103606,23/12/2025,Damaged in Shipping,24.15,unknown
RET700568,ORD-105997,2024/06/28,Wrong Item,292.8,N
RET700569,ORD-101587,27/01/2025,Wrong Item,,N
RET700570,ORD-103976,2025/03/13,defective,65.47,No
RET700571,ORD-106363,04/30/2026,Damaged in Shipping,-81.69,
RET700572,ORD-107067,2025-13-05,No Longer Needed,,unknown
RET700573,ORD-107347,"August 24, 2025",Wrong Item,,unknown
RET700574,ORD-100002,05-Jan-2025,Defective,,N
RET700575,ORD-103089,"March 13, 2026",Wrong Item,83.95,Y
RET700576,ORD-107392,2024-04-08,Changed Mind,,No
RET700577,ORD-104794,2024/05/27,Wrong Item,-28.03,Yes
RET700578,ORD-107473,"February 21, 2024",Changed Mind,-205.95,No
RET700579,ORD-104830,2024-10-09,,,Y
RET700580,ORD-101157,11/12/2027,Late Delivery,-192.59,No
RET700581,ORD-105508,2024/12/19,Wrong Item,-183.53,Yes
RET700582,ORD-101903,2025/06/15,Damaged in Shipping,$163.07,
RET700583,ORD-107499,2024/05/21,Damaged in Shipping,-78.33,Y
RET700584,ORD-108720,20-Aug-2024,Wrong Item,,No
RET700585,ORD-103513,01-Jun-2024,Defective,-192.25,No
RET700586,ORD-103028,06/21/2027,Changed Mind,-75.85,Yes
RET700587,ORD-107601,06/23/2026,,,unknown
RET700588,ORD-107650,08-Jun-2026,Wrong Item,108.85,Y
RET700589,ORD-101406,25-Jun-2026,defective,-97.01,Y
RET700590,ORD-107583,01-Mar-2026,defective,-164.97,
RET700591,ORD-106061,26-Nov-2025,Defective,,Y
RET700592,ORD-100664,2026-01-06,Damaged in Shipping,242.9,No
RET700593,ORD-101975,2024/07/25,,-32.61,No
RET700594,ORD-106565,"January 15, 2024",Changed Mind,256.37,unknown
RET700595,ORD-104348,2026/02/08,Late Delivery,,Y
RET700596,ORD-100937,2026-05-18,No Longer Needed,-147.12,Y
RET700597,ORD-103273,26/02/2024,Changed Mind,-68.81,No
RET700598,ORD-107349,2026-06-24,Defective,144.47,
RET700599,ORD-103766,04/16/2024,Changed Mind,-93.87,Y
RET700600,ORD-107248,"January 07, 2026",Damaged in Shipping,77.96,
RET700601,ORD-108554,03-Nov-2024,Damaged in Shipping,-80.48,Y
RET700602,ORD-106842,13-May-2025,,,No
RET700603,ORD-102518,11/07/2025,,151.18,Y
RET700604,ORD-108328,02/06/2024,defective,10.42,N
RET700605,ORD-100047,06/30/2024,No Longer Needed,-230.77,N
RET700606,ORD-104211,11/03/2024,Defective,,Y
RET700607,ORD-103914,27/10/2025,,130.48,Yes
RET700608,ORD-101101,2024/05/15,WRONG ITEM,-261.11,No
RET700609,ORD-108322,20/02/2024,Defective,,Y
RET700610,ORD-108974,04/21/2025,Wrong Item,,
RET700611,ORD-107046,2025/12/25,Wrong Item,$234.48,
RET700612,ORD-105006,01/12/2025,,-153.32,Yes
RET700613,ORD-107951,2025/05/09,Defective,-78.1,N
RET700614,ORD-102613,05/25/2026,WRONG ITEM,$131.62,No
RET700615,ORD-103827,05/05/2024,defective,$200.15,unknown
RET700616,ORD-108782,19-May-2026,Damaged in Shipping,$94.24,N
RET700617,ORD-101070,2024-05-19,Late Delivery,,unknown
RET700618,ORD-107781,"March 03, 2025",,13.25,Y
RET700619,ORD-105851,02/25/2025,Damaged in Shipping,$153.55,No
RET700620,ORD-103226,2025/01/05,,,Y
RET700621,ORD-104827,2027/01/14,Wrong Item,195.72,
RET700622,ORD-107029,29/02/2024,Defective,-268.56,unknown
RET700623,ORD-102128,"April 02, 2027",WRONG ITEM,-129.69,
RET700624,ORD-104843,2025/07/21,,-231.32,Y
RET700625,ORD-102183,"September 06, 2024",Changed Mind,$162.66,Y
RET700626,ORD-103275,2025/07/30,Changed Mind,$73.78,unknown
RET700627,ORD-105269,2025-11-08,Defective,224.21,N
RET700628,ORD-100425,22/09/2024,Changed Mind,$282.39,unknown
RET700629,ORD-104915,06/27/2024,Wrong Item,247.79,N
RET700630,ORD-101023,2025-12-19,,$11.78,N
RET700631,ORD-107125,18/10/2025,Late Delivery,181.08,
RET700632,ORD-103469,"May 26, 2026",Late Delivery,$81.66,N
RET700633,ORD-103310,09/12/2025,Wrong Item,$247.03,No
RET700634,ORD-102798,11/18/2025,,-81.25,unknown
RET700635,ORD-108980,"March 09, 2024",Damaged in Shipping,,No
RET700636,ORD-107410,2024-03-22,WRONG ITEM,,Yes
RET700637,ORD-108765,18-May-2025,WRONG ITEM,,No
RET700638,ORD-104907,21/08/2024,Late Delivery,-104.54,No
RET700639,ORD-106738,04/18/2026,defective,$285.66,No
RET700640,ORD-102533,2024/07/14,Changed Mind,43.54,Y
RET700641,ORD-101240,29/08/2024,Damaged in Shipping,,
RET700642,ORD-105602,2024-10-22,Wrong Item,-206.85,
RET700643,ORD-102615,30-Apr-2026,WRONG ITEM,-72.43,
RET700644,ORD-100793,15-Jul-2024,Changed Mind,-235.09,N
RET700645,ORD-100964,2025-03-12,Late Delivery,,unknown
RET700646,ORD-107312,07/01/2025,Wrong Item,-145.03,Yes
RET700647,ORD-101215,"April 20, 2024",No Longer Needed,,N
RET700648,ORD-104318,2025-12-27,defective,122.8,N
RET700649,ORD-104832,21/12/2024,,5.73,Y
RET700650,ORD-103267,2026-04-21,Wrong Item,,N
RET700651,ORD-104497,02/12/2026,WRONG ITEM,-221.17,N
RET700652,ORD-101889,18-Oct-2024,Wrong Item,,N
RET700653,ORD-107810,07-Aug-2025,,$73.71,Yes
RET700654,ORD-107209,2025-07-25,Late Delivery,-142.87,
RET700655,ORD-104878,12/06/2025,,$74.93,Yes
RET700656,ORD-108985,03/13/2026,Wrong Item,-102.43,No
RET700657,ORD-107260,"October 21, 2024",No Longer Needed,207.49,Yes
RET700658,ORD-108155,22-Mar-2024,,299.25,
RET700659,ORD-100187,2025-01-02,,,unknown
RET700660,ORD-105114,05/03/2025,Wrong Item,209.09,unknown
RET700661,ORD-107761,01/27/2026,Defective,-211.99,Yes
RET700662,ORD-108060,27-Sep-2024,No Longer Needed,-77.72,Yes
RET700663,ORD-106253,2027/03/24,WRONG ITEM,$26.16,N
RET700664,ORD-106138,"August 18, 2025",No Longer Needed,$144.85,unknown
RET700665,ORD-100954,02/07/2025,defective,$116.25,unknown
RET700666,ORD-102411,2024/02/05,WRONG ITEM,114.7,Y
RET700667,ORD-104319,2025/02/24,defective,,Yes
RET700668,ORD-107125,2026-02-09,WRONG ITEM,-249.17,No
RET700669,ORD-102819,30/12/2024,,$202.66,N
RET700670,ORD-103687,06/09/2024,Late Delivery,,
RET700671,ORD-108497,2024-08-06,,140.39,Yes
RET700672,ORD-108198,2025/07/30,,289.11,unknown
RET700673,ORD-108716,03-Feb-2024,WRONG ITEM,114.27,N
RET700674,ORD-103487,2024/05/20,No Longer Needed,-261.01,unknown
RET700675,ORD-100315,02-Dec-2024,Changed Mind,53.5,Y
RET700676,ORD-105943,"June 06, 2024",,208.59,No
RET700677,ORD-101192,10-Jun-2024,Late Delivery,-41.87,unknown
RET700678,ORD-100889,05-Jan-2025,Wrong Item,256.25,N
RET700679,ORD-101273,2024/04/16,Defective,235.59,Y
RET700680,ORD-106666,"November 12, 2025",Damaged in Shipping,282.96,
RET700681,ORD-101484,12/12/2024,WRONG ITEM,-23.44,Y
RET700682,ORD-108784,01/16/2025,WRONG ITEM,,Y
RET700683,ORD-107887,06-Nov-2025,Wrong Item,173.77,N
RET700684,ORD-100628,02-Oct-2024,Late Delivery,$16.96,unknown
RET700685,ORD-103563,2027/09/25,No Longer Needed,-94.16,
RET700686,ORD-105658,20-Apr-2025,defective,$156.89,Y
RET700687,ORD-105157,2024-05-03,Late Delivery,-158.75,Y
RET700688,ORD-100260,16-Aug-2024,,-254.8,Yes
RET700689,ORD-108053,"January 27, 2024",No Longer Needed,-98.4,
RET700690,ORD-105519,"January 26, 2024",,$249.46,N
RET700691,ORD-107023,01-Apr-2026,,,Yes
RET700692,ORD-106644,"September 16, 2024",Late Delivery,22.85,Yes
RET700693,ORD-108871,2025-08-28,WRONG ITEM,$106.27,Y
RET700694,ORD-107318,2026/02/18,WRONG ITEM,,
RET700695,ORD-103032,2025-02-18,Wrong Item,-181.21,unknown
RET700696,ORD-104023,"August 26, 2025",defective,109.16,
RET700697,ORD-108050,07/13/2024,WRONG ITEM,252.19,No
RET700698,ORD-103205,"July 27, 2024",defective,222.16,No
RET700699,ORD-101536,08/04/2026,Damaged in Shipping,-11.47,
RET700700,ORD-105888,2025/06/20,Changed Mind,,unknown
RET700701,ORD-106407,2025/09/17,,194.0,Yes
RET700702,ORD-106491,06/26/2025,Late Delivery,279.73,Y
RET700703,ORD-101176,2024/02/19,No Longer Needed,$177.56,
RET700704,ORD-104555,12/05/2025,,,unknown
RET700705,ORD-103048,"March 09, 2025",Defective,$255.48,N
RET700706,ORD-107340,15-Feb-2025,WRONG ITEM,,No
RET700707,ORD-101207,17/09/2025,Damaged in Shipping,,Yes
RET700708,ORD-100473,08/05/2025,Late Delivery,$110.84,unknown
RET700709,ORD-103470,06/24/2026,Late Delivery,282.2,Yes
RET700710,ORD-101561,07/10/2025,Changed Mind,,Y
RET700711,ORD-106704,23/05/2024,Damaged in Shipping,$235.01,Yes
RET700712,ORD-105241,06/08/2025,WRONG ITEM,-292.4,N
RET700713,ORD-106474,31/08/2025,,115.11,N
RET700714,ORD-100366,"July 23, 2024",Damaged in Shipping,138.11,Y
RET700715,ORD-103467,24-Apr-2026,Damaged in Shipping,-63.88,No
RET700716,ORD-102501,02/09/2024,,$244.95,
RET700717,ORD-101781,16/06/2025,Damaged in Shipping,-235.48,Y
RET700718,ORD-106299,00/00/2025,Damaged in Shipping,66.21,No
RET700719,ORD-102925,"August 15, 2024",Changed Mind,$234.52,
RET700720,ORD-107440,2025-01-18,Defective,-128.17,
RET700721,ORD-104451,07/09/2026,No Longer Needed,116.97,Yes
RET700722,ORD-105920,11/05/2024,Late Delivery,198.06,Y
RET700723,ORD-105885,"July 05, 2024",,,No
RET700724,ORD-101710,12/22/2024,Wrong Item,150.9,No
RET700725,ORD-108488,10-Jan-2026,,69.23,Yes
RET700726,ORD-103433,2025/05/08,No Longer Needed,-66.99,No
RET700727,ORD-104476,14-Jul-2026,,$37.51,unknown
RET700728,ORD-105177,26-Nov-2027,WRONG ITEM,$125.92,N
RET700729,ORD-104415,2025-05-18,defective,-284.88,N
RET700730,ORD-101547,"January 01, 2025",Changed Mind,171.34,Y
RET700731,ORD-106572,"May 19, 2024",Defective,$40.36,unknown
RET700732,ORD-103720,05/04/2026,defective,$217.27,unknown
RET700733,ORD-107393,11-Oct-2025,Damaged in Shipping,$226.47,No
RET700734,ORD-105707,04-Jul-2024,Wrong Item,$60.54,unknown
RET700735,ORD-106501,10/12/2024,defective,$162.71,Yes
RET700736,ORD-103690,"December 30, 2025",,111.84,N
RET700737,ORD-104694,15/01/2025,Wrong Item,18.69,Yes
RET700738,ORD-105327,2026-06-17,Changed Mind,$88.57,Y
RET700739,ORD-106229,26-Mar-2025,Wrong Item,$251.29,unknown
RET700740,ORD-102508,"December 27, 2025",Defective,93.64,N
RET700741,ORD-106529,19/12/2024,,$280.05,Y
RET700742,ORD-100349,01/24/2024,Changed Mind,,
RET700743,ORD-100409,2026-02-03,Damaged in Shipping,-168.72,unknown
RET700744,ORD-100300,2026/01/10,defective,137.6,Y
RET700745,ORD-104473,18/10/2024,No Longer Needed,-96.38,Yes
RET700746,ORD-108929,02/07/2024,Late Delivery,276.02,unknown
RET700747,ORD-103565,23-Nov-2024,Changed Mind,$285.75,
RET700748,ORD-100379,"January 07, 2025",,$71.08,
RET700749,ORD-102865,2025-09-18,No Longer Needed,147.53,unknown
RET700750,ORD-102762,"April 01, 2025",,,N
RET700751,ORD-102313,12/19/2027,No Longer Needed,265.33,Yes
RET700752,ORD-100118,2024-12-07,,106.13,Yes
RET700753,ORD-101350,17-Oct-2025,Wrong Item,,unknown
RET700754,ORD-107603,06/04/2025,WRONG ITEM,$283.44,Y
RET700755,ORD-107323,2026/06/09,Damaged in Shipping,$45.12,No
RET700756,ORD-100519,2025/09/12,Changed Mind,$32.04,No
RET700757,ORD-101842,2025/03/13,Changed Mind,12.47,No
RET700758,ORD-105907,23-May-2026,Wrong Item,-7.98,
RET700759,ORD-100809,25/03/2026,defective,$157.31,
RET700760,ORD-101358,22/04/2024,Late Delivery,,No
RET700761,ORD-108392,"August 24, 2025",Changed Mind,$130.29,unknown
RET700762,ORD-107812,2024/06/05,Defective,118.11,Yes
RET700763,ORD-107444,01/15/2024,Wrong Item,,No
RET700764,ORD-106589,"March 06, 2025",,$180.11,No
RET700765,ORD-106962,2025/11/16,No Longer Needed,207.51,Yes
RET700766,ORD-108723,07/16/2024,defective,,
RET700767,ORD-108285,04/08/2024,Late Delivery,-110.3,Yes
RET700768,ORD-102366,2024-06-05,Defective,,No
RET700769,ORD-107658,2024/07/12,Defective,$96.23,
RET700770,ORD-101920,2026/02/11,Wrong Item,-230.7,N
RET700771,ORD-105941,2025/03/04,Changed Mind,-30.71,N
RET700772,ORD-104258,05/22/2026,Wrong Item,$74.7,Yes
RET700773,ORD-106297,2025-06-30,,-44.31,Yes
RET700774,ORD-100586,2026-06-15,No Longer Needed,,No
RET700775,ORD-104736,2024-02-08,,274.15,Y
RET700776,ORD-105663,"July 21, 2024",Changed Mind,$64.74,
RET700777,ORD-108489,15/07/2025,Defective,-142.88,Y
RET700778,ORD-100213,2025/11/17,WRONG ITEM,-116.63,
RET700779,ORD-101655,2024-01-22,Defective,,No
RET700780,ORD-100532,19/04/2024,Wrong Item,,Y
RET700781,ORD-102211,16-Sep-2024,defective,-50.21,Y
RET700782,ORD-100793,"October 15, 2025",,$19.44,Yes
RET700783,ORD-105794,"March 26, 2026",Damaged in Shipping,-31.19,unknown
RET700784,ORD-104748,2025/06/01,Defective,64.03,Yes
RET700785,ORD-100945,14/08/2024,Damaged in Shipping,$241.64,N
RET700786,ORD-106347,2025/02/16,defective,-153.43,N
RET700787,ORD-108647,2026-06-04,Late Delivery,-67.37,unknown
RET700788,ORD-108171,02-Apr-2025,Defective,70.69,Yes
RET700789,ORD-105575,2024-04-06,Changed Mind,254.09,Y
RET700790,ORD-103382,2025-02-03,Changed Mind,248.79,Yes
RET700791,ORD-107707,15-May-2026,Defective,,
RET700792,ORD-101468,04/13/2025,Damaged in Shipping,-179.16,unknown
RET700793,ORD-100704,02/17/2025,defective,-92.38,unknown
RET700794,ORD-107468,10-Apr-2024,,,Yes
RET700795,ORD-103761,2024/09/25,,-20.59,No
RET700796,ORD-108520,30-Mar-2026,WRONG ITEM,,unknown
RET700797,ORD-105003,2025-04-10,Wrong Item,,
RET700798,ORD-103341,2025-13-05,,$113.73,Yes
RET700799,ORD-106400,"March 08, 2025",,-257.93,Y
RET700800,ORD-108120,2025-10-24,,,Yes
RET700801,ORD-108658,2024/04/04,,,No
RET700802,ORD-108328,02/26/2025,,-147.71,Yes
RET700803,ORD-103942,"February 03, 2026",Wrong Item,,N
RET700804,ORD-104933,17-Apr-2025,Wrong Item,205.79,Yes
RET700805,ORD-104029,10-Jun-2024,defective,,No
RET700806,ORD-101987,2026/03/17,defective,210.76,No
RET700807,ORD-103787,04/25/2025,Changed Mind,,Yes
RET700808,ORD-100284,01/02/2024,Damaged in Shipping,$45.8,Yes
RET700809,ORD-107000,"December 08, 2024",Changed Mind,,unknown
RET700810,ORD-106498,"September 11, 2025",Defective,$267.97,unknown
RET700811,ORD-104747,2026-07-06,,-209.23,No
RET700812,ORD-100851,2026/03/23,WRONG ITEM,-130.43,Yes
RET700813,ORD-105895,06/18/2024,Defective,-232.52,unknown
RET700814,ORD-106063,"July 30, 2025",,208.38,Y
RET700815,ORD-104519,2025-04-25,WRONG ITEM,-161.42,
RET700816,ORD-100894,"April 11, 2025",Wrong Item,185.46,No
RET700817,ORD-104061,27/12/2024,WRONG ITEM,-138.08,Y
RET700818,ORD-108697,2025-07-24,Late Delivery,,No
RET700819,ORD-107951,17/03/2024,,-298.66,
RET700820,ORD-102949,2026/01/06,Changed Mind,,unknown
RET700821,ORD-104013,04/06/2024,,-278.42,Y
RET700822,ORD-100650,2026-01-23,No Longer Needed,$207.53,unknown
RET700823,ORD-106410,2026-03-28,Wrong Item,$82.2,Y
RET700824,ORD-106973,02/02/2026,Defective,,Y
RET700825,ORD-105611,24-Dec-2025,Late Delivery,-290.72,
RET700826,ORD-102056,2024/07/21,defective,$268.22,No
RET700827,ORD-104874,2024/06/08,No Longer Needed,$279.72,N
RET700828,ORD-103068,2026-01-19,defective,$226.74,N
RET700829,ORD-108387,24-Oct-2025,,-248.92,
RET700830,ORD-104990,2024-09-03,WRONG ITEM,214.1,
RET700831,ORD-107292,2025-07-08,Late Delivery,$64.38,No
RET700832,ORD-108319,2025/12/26,,-297.51,
RET700833,ORD-100578,06/01/2026,,$215.64,Yes
RET700834,ORD-103199,"July 08, 2025",,12.94,Y
RET700835,ORD-103188,2024/02/19,Changed Mind,-232.11,Yes
RET700836,ORD-108665,12/08/2024,Defective,252.52,
RET700837,ORD-106849,"July 09, 2026",Late Delivery,117.68,No
RET700838,ORD-106732,"July 03, 2026",Late Delivery,,unknown
RET700839,ORD-103519,"January 31, 2025",Defective,267.95,N
RET700840,ORD-105023,2024-09-07,No Longer Needed,28.88,No
RET700841,ORD-108151,"October 29, 2025",Wrong Item,296.23,unknown
RET700842,ORD-104941,2026-07-22,No Longer Needed,-48.15,Y
RET700843,ORD-103982,2024-12-27,,$142.81,Yes
RET700844,ORD-108206,2024/11/21,WRONG ITEM,,No
RET700845,ORD-102725,26/06/2024,Defective,168.09,No
RET700846,ORD-107271,05/24/2024,,,Yes
RET700847,ORD-108473,"May 26, 2025",Defective,-167.69,
RET700848,ORD-107844,2027-03-04,Changed Mind,$134.79,Y
RET700849,ORD-104661,15/04/2025,No Longer Needed,,Yes
RET700850,ORD-100419,"June 04, 2024",,$12.55,Y
RET700851,ORD-108518,04-Jul-2024,WRONG ITEM,-219.82,No
RET700852,ORD-108371,2025-12-03,Changed Mind,-271.11,N
RET700853,ORD-108457,07/17/2026,Wrong Item,246.5,
RET700854,ORD-108778,"January 21, 2027",WRONG ITEM,$38.85,Y
RET700855,ORD-105041,01-Jul-2026,WRONG ITEM,$52.29,
RET700856,ORD-102929,19/08/2024,WRONG ITEM,,No
RET700857,ORD-100233,04/08/2026,WRONG ITEM,$86.66,Y
RET700858,ORD-108330,2024/10/27,No Longer Needed,-204.92,Yes
RET700859,ORD-102721,05-Jul-2024,Defective,265.25,N
RET700860,ORD-103818,"May 15, 2026",,-185.53,unknown
RET700861,ORD-101883,08/08/2024,Changed Mind,241.85,
RET700862,ORD-106585,2024/11/08,Late Delivery,$44.04,Yes
RET700863,ORD-103240,09/11/2025,defective,211.87,N
RET700864,ORD-104780,04/23/2026,Late Delivery,$137.94,No
RET700865,ORD-104855,01-Feb-2025,defective,-113.49,No
RET700866,ORD-102293,10/27/2024,Wrong Item,,No
RET700867,ORD-105003,2024-12-18,No Longer Needed,-30.36,
RET700868,ORD-108697,2024-12-05,WRONG ITEM,,
RET700869,ORD-103387,05/06/2024,,-157.19,N
RET700870,ORD-103451,11/18/2024,WRONG ITEM,,Y
RET700871,ORD-104884,2024-04-17,Damaged in Shipping,$58.1,Yes
RET700872,ORD-103748,"February 28, 2026",defective,,
RET700873,ORD-107961,07-Nov-2024,Damaged in Shipping,,N
RET700874,ORD-101153,01-Mar-2024,,246.2,unknown
RET700875,ORD-100036,2026-01-26,,74.3,No
RET700876,ORD-107637,08-Jun-2024,No Longer Needed,,
RET700877,ORD-101039,29/12/2025,WRONG ITEM,194.14,Y
RET700878,ORD-101982,"March 02, 2024",,-203.41,Y
